phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://docs.kujolang.ai/,home,2026-09-05T14:12:39.576Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/baseline-lighthouse/home.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
baseline,https://docs.kujolang.ai/tools/tribunal/,detail,2026-09-05T14:13:19.680Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/baseline-lighthouse/tools-tribunal.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
baseline,https://docs.kujolang.ai/tools/,directory,2026-09-05T14:12:55.477Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,44699,144490,64406,867,22496,17,1090.651,NOT AVAILABLE — DATA ACCESS REQUIRED,0.03572192815635177,104,raw/baseline-lighthouse/tools.json,"{""runtimeError"": null, ""runWarnings"": [""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 1, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://docs.kujolang.ai/,home,2026-09-05T14:23:20.276Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,11837,144490,64406,867,22496,17,1286.679,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0008292862640198929,252,raw/baseline-retry-lighthouse/home.json,"{""runtimeError"": null, ""runWarnings"": [""Clearing the browser cache timed out. Try auditing this page again and file a bug if the issue persists."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": 0.99, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
baseline,https://docs.kujolang.ai/tools/tribunal/,detail,2026-09-05T14:24:27.934Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/baseline-retry-lighthouse/tools-tribunal.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Clearing the browser cache timed out. Try auditing this page again and file a bug if the issue persists."", ""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests."", ""The tested device appears to have a slower CPU than  Lighthouse expects. This can negatively affect your performance score. Learn more about [calibrating an appropriate CPU slowdown multiplier](https://github.com/GoogleChrome/lighthouse/blob/main/docs/throttling.md#cpu-throttling).""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
after,https://docs.kujolang.ai/,home,2026-09-05T15:19:17.417Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,11837,144490,64406,867,22496,17,1187.4650000000001,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0008292862640198929,251,raw/after-lighthouse/home.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.91, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://docs.kujolang.ai/tools/tribunal/,detail,2026-09-05T15:19:58.456Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,12993,144490,64406,867,22496,17,1624.7865000000002,NOT AVAILABLE — DATA ACCESS REQUIRED,0,198,raw/after-lighthouse/tools-tribunal.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.97, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
after,https://docs.kujolang.ai/tools/,directory,2026-09-05T15:19:46.416Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,NOT AVAILABLE — DATA ACCESS REQUIRED,raw/after-lighthouse/tools.json,"{""runtimeError"": ""CHROME_INTERSTITIAL_ERROR"", ""runWarnings"": [""Chrome prevented page load with an interstitial. Make sure you are testing the correct URL and that the server is properly responding to all requests.""], ""categoryScores"": {""performance"": null, ""accessibility"": null, ""best-practices"": null, ""seo"": null}}"
after,https://docs.kujolang.ai/tools/,directory,2026-09-05T15:28:51.221Z,Live HTTPS; local macOS Chrome; default simulated mobile; headless; concurrent host load,13.4.1,44639,144490,64406,867,22496,17,1125.4364999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0.03572192815635177,201,raw/after-retry-lighthouse/tools.json,"{""runtimeError"": null, ""runWarnings"": [], ""categoryScores"": {""performance"": 0.98, ""accessibility"": 1, ""best-practices"": 1, ""seo"": 1}}"
