phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
baseline,https://docs.kujolang.ai/collections/skills/,skills,2026-09-08T20:33:05.477Z,Lighthouse default mobile emulation; local Chrome; shared Mac host and variable load,13.4.1,5657,20483,25036,1293,23233,17,2067.967,NOT AVAILABLE — DATA ACCESS REQUIRED,0,136,raw/lighthouse-baseline-skills.json,Lab only. No causal or field-CWV claim. Successful run.
after,https://docs.kujolang.ai/,home,2026-09-08T21:17:15.108Z,Lighthouse default mobile emulation; local Chrome; shared Mac host and variable load,13.4.1,5662,20473,25009,1262,23252,17,1648.4205,NOT AVAILABLE — DATA ACCESS REQUIRED,0.0008292862640198929,191,raw/lighthouse-after-home.json,Lab only. No causal or field-CWV claim. Successful run.
after,https://docs.kujolang.ai/collections/skills/,skills,2026-09-08T21:05:35.296Z,Lighthouse default mobile emulation; local Chrome; shared Mac host and variable load,13.4.1,6285,20343,25120,1256,23246,17,1956.3649999999998,NOT AVAILABLE — DATA ACCESS REQUIRED,0,111,raw/lighthouse-after-skills.json,Lab only. No causal or field-CWV claim. Successful run.
after,https://docs.kujolang.ai/collections/video-skills/,guide,2026-09-08T21:04:25.613Z,Lighthouse default mobile emulation; local Chrome; shared Mac host and variable load,13.4.1,8142,20467,24949,1255,23258,17,1947.843,NOT AVAILABLE — DATA ACCESS REQUIRED,0,238,raw/lighthouse-after-video-guide.json,Lab only. No causal or field-CWV claim. Successful run.
