phase,source_url,image_url,source_file,alt,width,height,loading,format,bytes,exists,srcset,sizes,responsive_candidates,responsive_missing,issues
baseline,https://docs.kujolang.ai/collections/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/skills/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/skills/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/workflows/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/collections/workflows/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/core-foundation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/core-foundation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/primitives/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/primitives/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/providers/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/providers/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/showcases/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/showcases/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/tooling/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/ecosystem/tooling/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/install/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/install/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/ai-runtime/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/ai-runtime/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/capabilities/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/capabilities/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/editor-support/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/editor-support/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/language-basics/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/language-basics/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/packages/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/packages/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/runtime/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/learn/runtime/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/quickstart/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/quickstart/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/reference/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/reference/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/release-boundaries/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/release-boundaries/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/browser-architecture-and-privacy/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/context-and-task-contracts/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/context-and-task-contracts/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/evidence-and-run-history/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/evidence-and-run-history/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/quality-and-release-gates/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/quality-and-release-gates/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/tests-and-evaluation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/review/tests-and-evaluation/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/security/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/security/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/ai-chat/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/ai-chat/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/cinch/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/cinch/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/cms/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/cms/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/crud-api/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/crud-api/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/intake/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/intake/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/ssg/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/ssg/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/totalrecall/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/showcases/totalrecall/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/start-here/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/start-here/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/support/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/support/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/ability/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/ability/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/agents-sdk/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/agents-sdk/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
baseline,https://docs.kujolang.ai/tools/ai-sdk/,https://docs.kujolang.ai/assets/img/kujo-logomark-black.svg,assets/img/kujo-logomark-black.svg,,32,32,,svg,867,True,,,0,0,
