phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
after,http://127.0.0.1:8766/build/,build,2026-09-04T15:16:54.175Z,local static output; Lighthouse mobile simulated throttling,13.4.1,9676,145050,28982,1057,22685,14,2861.3226000000004,NOT AVAILABLE — DATA ACCESS REQUIRED,0,2,raw/performance/after-build.json,Lab run; not field Core Web Vitals. One run per representative template.
after,http://127.0.0.1:8766/,home,2026-09-04T15:15:41.636Z,local static output; Lighthouse mobile simulated throttling,13.4.1,8878,145050,28982,1057,22685,15,3027.0868,NOT AVAILABLE — DATA ACCESS REQUIRED,8.800988955948571e-05,18,raw/performance/after-home.json,Lab run; not field Core Web Vitals. One run per representative template.
after,http://127.0.0.1:8766/tools/packwrite/,packwrite,2026-09-04T15:16:30.588Z,local static output; Lighthouse mobile simulated throttling,13.4.1,16906,145050,28982,1057,22685,14,3013.79535,NOT AVAILABLE — DATA ACCESS REQUIRED,0,2,raw/performance/after-packwrite.json,Lab run; not field Core Web Vitals. One run per representative template.
after,http://127.0.0.1:8766/tools/,tools,2026-09-04T15:16:04.065Z,local static output; Lighthouse mobile simulated throttling,13.4.1,40953,145050,28982,1057,22685,14,3023.1846,NOT AVAILABLE — DATA ACCESS REQUIRED,0,2,raw/performance/after-tools.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:8767/build/,build,2026-09-04T15:15:13.445Z,local static output; Lighthouse mobile simulated throttling,13.4.1,9566,145050,28982,1057,22685,14,2866.6806000000006,NOT AVAILABLE — DATA ACCESS REQUIRED,0,4,raw/performance/baseline-build.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:8767/,home,2026-09-04T15:13:56.749Z,local static output; Lighthouse mobile simulated throttling,13.4.1,8791,145050,28982,1057,22685,15,3022.0749999999994,NOT AVAILABLE — DATA ACCESS REQUIRED,0,13,raw/performance/baseline-home.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:8767/tools/packwrite/,packwrite,2026-09-04T15:14:45.878Z,local static output; Lighthouse mobile simulated throttling,13.4.1,16860,145050,28982,1057,22685,14,3017.2556999999997,NOT AVAILABLE — DATA ACCESS REQUIRED,0,2,raw/performance/baseline-packwrite.json,Lab run; not field Core Web Vitals. One run per representative template.
baseline,http://127.0.0.1:8767/tools/,tools,2026-09-04T15:14:22.049Z,local static output; Lighthouse mobile simulated throttling,13.4.1,40855,145050,28982,1057,22685,14,3016.2667500000002,NOT AVAILABLE — DATA ACCESS REQUIRED,0,6,raw/performance/baseline-tools.json,Lab run; not field Core Web Vitals. One run per representative template.
